House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
176,Gallagher Wells,Christopher,Russell,14,Son,NA,Male,Student,None,NA
177,Gallagher Wells,Adrian,Ward,71,Head,Married,Male,"Retired Surveyor, building control",None,Christian
177,Gallagher Wells,Jean,Ward,69,Wife,Married,Female,"Retired Surveyor, building",None,Christian
177,Gallagher Wells,Amanda,Ward,17,Granddaughter,NA,Female,Student,None,NA
177,Gallagher Wells,Anna,Thompson,15,Granddaughter,NA,Female,Student,None,NA
178,Gallagher Wells,Francesca,Sutton,36,Head,Single,Female,Marine scientist,None,Catholic
178,Gallagher Wells,Alice,Sutton,11,Daughter,NA,Female,Student,None,NA
178,Gallagher Wells,Francis,Sutton,5,Son,NA,Male,Student,None,NA
178,Gallagher Wells,Timothy,Sutton,1,Son,NA,Male,Child,None,NA
178,Gallagher Wells,Jennifer,Perry,34,Lodger,Single,Female,Petroleum engineer,None,None
178,Gallagher Wells,Abbie,Freeman,30,Lodger,Single,Female,Financial trader,None,Muslim
179,Gallagher Wells,Naomi,Woods,59,Head,Single,Female,Warden/ranger,None,Catholic
179,Gallagher Wells,Damien,Davies,60,Partner,Single,Male,"Engineer, site",None,None
179,Gallagher Wells,Charlie,Woods,26,Son,Single,Male,"Clinical scientist, histocompatibility and immunogenetics",None,Catholic
179,Gallagher Wells,Gerard,Woods,2,Son,NA,Male,Child,None,NA
180,Gallagher Wells,Rosie,Clarke,48,Head,Single,Female,Clinical cytogeneticist,None,Christian
180,Gallagher Wells,Julian,Edwards,23,None,Single,Male,Product manager,None,None
180,Gallagher Wells,Josephine,Chapman,42,None,Single,Female,Chartered certified accountant,None,Catholic
180,Gallagher Wells,Nigel,Jones,28,None,Single,Male,Unemployed,None,None
181,Gallagher Wells,Deborah,Marsh,43,Head,Single,Female,Brewing technologist,None,Catholic
181,Gallagher Wells,Jonathan,Marsh,12,Son,NA,Male,Student,None,NA
181,Gallagher Wells,Helen,Marsh,8,Daughter,NA,Female,Student,None,NA
181,Gallagher Wells,Harriet,Marsh,5,Daughter,NA,Female,Student,None,NA
182,Gallagher Wells,Alexandra,Williams,42,Head,Single,Female,"Scientist, water quality",None,None
182,Gallagher Wells,Tony,Clarke,44,Partner,Single,Male,Mechanical engineer,None,None
182,Gallagher Wells,Maureen,Williams,4,Daughter,NA,Female,Child,None,NA
182,Gallagher Wells,Stuart,Williams,1,Son,NA,Male,Child,None,NA
182,Gallagher Wells,Sarah,Williams,0,Daughter,NA,Female,Child,None,NA
183,Gallagher Wells,Jane,Hyde,43,Head,Married,Female,Fine artist,None,Catholic
183,Gallagher Wells,Jason,Hyde,42,Husband,Married,Male,Government social research officer,None,Catholic
183,Gallagher Wells,Natalie,Hyde,17,Daughter,NA,Female,Student,None,NA
183,Gallagher Wells,Dylan,Hyde,14,Son,NA,Male,Student,None,NA
184,Gallagher Wells,Hugh,Jones,76,Head,Widowed,Male,Retired Social worker,None,Christian
185,Gallagher Wells,Carol,Harris,25,Head,Single,Female,Charity fundraiser,None,Catholic
185,Gallagher Wells,Samantha,Harris,3,Daughter,NA,Female,Child,None,NA
185,Gallagher Wells,Kieran,Harris,1,Son,NA,Male,Child,None,NA
185,Gallagher Wells,Emily,Harris,1,Daughter,NA,Female,Child,None,NA
186,Gallagher Wells,Valerie,Lawson,54,Head,Single,Female,Unemployed,None,Catholic
186,Gallagher Wells,Katherine,May,39,None,Single,Female,"Engineer, site",None,None
186,Gallagher Wells,Mohamed,Webster,57,None,Single,Male,Clinical cytogeneticist,None,Christian
186,Gallagher Wells,Claire,Moss,34,None,Single,Female,"Psychologist, forensic",None,None
187,Gallagher Wells,Kate,Daniels,56,Head,Married,Female,"Designer, textile",None,Christian
187,Gallagher Wells,Lee,Daniels,59,Husband,Married,Male,Equities trader,None,Christian
187,Gallagher Wells,Victor,Daniels,21,Son,Single,Male,University Student,None,Christian
187,Gallagher Wells,Kenneth,Daniels,17,Son,NA,Male,Student,None,NA
187,Gallagher Wells,Ruth,Daniels,15,Daughter,NA,Female,Student,None,NA
188,Gallagher Wells,Anne,Murphy,30,Head,Single,Female,"Surveyor, land/geomatics",None,None
188,Gallagher Wells,Annette,Howard,56,None,Single,Female,Energy manager,None,Christian
188,Gallagher Wells,Cameron,Hall,39,None,Single,Male,"Buyer, retail",None,None
188,Gallagher Wells,William,Williams,51,None,Single,Male,Learning disability nurse,None,Methodist
189,Gallagher Wells,Conor,Hill,38,Head,Married,Male,Unemployed,None,Christian
189,Gallagher Wells,Vanessa,Hill,33,Wife,Married,Female,"Lecturer, further education",None,None
189,Gallagher Wells,Sam,Hill,4,Son,NA,Male,Child,None,NA
189,Gallagher Wells,Gareth,Hill,1,Son,NA,Male,Child,None,NA
189,Gallagher Wells,Heather,Coleman,29,Lodger,Divorced,Female,"Horticulturist, amenity",None,Catholic
189,Gallagher Wells,Ross,Smith,27,Lodger,Single,Male,Merchant navy officer,None,Methodist
190,Gallagher Wells,Tina,Taylor,32,Head,Divorced,Female,"Development worker, international aid",None,Methodist
190,Gallagher Wells,Ian,Taylor,5,Son,NA,Male,Student,None,NA
190,Gallagher Wells,Jamie,Taylor,4,Son,NA,Male,Child,None,NA
190,Gallagher Wells,Catherine,Taylor,4,Daughter,NA,Female,Child,None,NA
191,Gallagher Wells,Melanie,O'Neill,55,Head,Married,Female,Nature conservation officer,None,Christian
191,Gallagher Wells,Sean,O'Neill,51,Husband,Married,Male,Chartered loss adjuster,None,Christian
191,Gallagher Wells,Trevor,O'Neill,14,Son,NA,Male,Student,None,NA
191,Gallagher Wells,Joyce,O'Neill,11,Daughter,NA,Female,Student,None,NA
192,Gallagher Wells,Jade,Roberts,31,Head,Married,Female,Actor,None,Catholic
192,Gallagher Wells,Ashley,Roberts,34,Husband,Married,Male,Pharmacologist,None,Catholic
192,Gallagher Wells,Maureen,Roberts,5,Daughter,NA,Female,Student,None,NA
192,Gallagher Wells,Richard,Roberts,3,Son,NA,Male,Child,None,NA
192,Gallagher Wells,Jake,Roberts,3,Son,NA,Male,Child,None,NA
193,Gallagher Wells,Josh,Burns,45,Head,Married,Male,Oncologist,None,None
193,Gallagher Wells,Molly,Burns,45,Wife,Married,Female,Special educational needs teacher,None,None
194,Gallagher Wells,Hilary,Smith,48,Head,Widowed,Female,Intelligence analyst,None,Christian
194,Gallagher Wells,William,Smith,21,Son,Single,Male,University Student,None,Christian
194,Gallagher Wells,Laura,Hutchinson,19,Daughter,Single,Female,University Student,None,Christian
194,Gallagher Wells,Hazel,Hutchinson,15,Daughter,NA,Female,Student,None,NA
195,Gallagher Wells,Vanessa,Powell,24,Head,Married,Female,"Accountant, chartered public finance",None,None
195,Gallagher Wells,Dennis,Powell,27,Husband,Married,Male,Civil Service administrator,None,None
195,Gallagher Wells,Mary,Evans,2,Daughter,NA,Female,Child,None,NA
195,Gallagher Wells,Adam,Evans,1,Son,NA,Male,Child,None,NA
196,Gallagher Wells,Linda,Harris,37,Head,Divorced,Female,"Surveyor, rural practice",None,None
196,Gallagher Wells,Nathan,Harris,6,Son,NA,Male,Student,Blind,NA
196,Gallagher Wells,Robert,Harris,6,Son,NA,Male,Student,None,NA
196,Gallagher Wells,Aaron,Harris,6,Son,NA,Male,Student,None,NA
197,Gallagher Wells,Jennifer,Herbert,19,Head,Married,Female,Materials engineer,None,None
197,Gallagher Wells,Victor,Herbert,22,Husband,Married,Male,Police officer,None,None
197,Gallagher Wells,Charlene,Herbert,1,Daughter,NA,Female,Child,None,NA
197,Gallagher Wells,Aimee,Ward,54,Cousin,Widowed,Female,Dealer,None,None
198,Gallagher Wells,Tina,Rose,61,Head,Married,Female,Contractor,None,Christian
198,Gallagher Wells,Damien,Rose,62,Husband,Married,Male,Fine artist,None,Christian
198,Gallagher Wells,Alexander,Rose,25,Son,Single,Male,"Education officer, museum",None,Christian
198,Gallagher Wells,Michael,Rose,7,Son,NA,Male,Student,None,NA
199,Gallagher Wells,Donna,Hill,44,Head,Married,Female,Operational investment banker,None,None
199,Gallagher Wells,Mathew,Hill,42,Husband,Married,Male,Unemployed,None,None
199,Gallagher Wells,Ben,Hill,12,Son,NA,Male,Student,None,NA
199,Gallagher Wells,Geraldine,Hill,5,Daughter,NA,Female,Student,None,NA
200,Gallagher Wells,Ruth,Wilkinson,74,Head,Single,Female,Retired Pension scheme manager,None,Christian
200,Gallagher Wells,Diana,Wilkinson,38,Daughter,Divorced,Female,Theatre stage manager,None,Christian
200,Gallagher Wells,Melissa,Wilkinson,34,Daughter,Divorced,Female,"Surveyor, insurance",None,None
200,Gallagher Wells,Deborah,Wilkinson,31,Daughter,Single,Female,Estate manager/land agent,None,None
201,Gallagher Wells,Bethan,Berry,25,Head,Single,Female,Information officer,None,Muslim
201,Gallagher Wells,Graham,Berry,3,Son,NA,Male,Child,None,NA
201,Gallagher Wells,Stephen,Martin,24,Visitor,Single,Male,Farm manager,None,Muslim
201,Gallagher Wells,Ronald,Hall,19,Sibling,Single,Male,University Student,None,None
201,Gallagher Wells,Benjamin,Hunter,41,Lodger,Single,Male,Unemployed,None,Christian
201,Gallagher Wells,Paige,Kemp,29,Lodger,Single,Female,"Therapist, drama",None,None
202,Gallagher Wells,Wendy,Carey,53,Head,Married,Female,Agricultural engineer,None,Christian
202,Gallagher Wells,Dean,Carey,55,Husband,Married,Male,Hospital pharmacist,None,None
203,Gallagher Wells,Stanley,Wright,45,Head,Married,Male,Diagnostic radiographer,None,Catholic
203,Gallagher Wells,Pamela,Wright,43,Wife,Married,Female,Youth worker,None,Catholic
203,Gallagher Wells,Louis,Wright,7,Son,NA,Male,Student,None,NA
204,Gallagher Wells,Angela,Wade,75,Head,Married,Female,Unemployed,None,None
204,Gallagher Wells,Hugh,Wade,77,Husband,Married,Male,"Retired Therapist, horticultural",None,None
204,Gallagher Wells,Irene,Wright-Blake,29,None,Married,Female,Unemployed,None,Catholic
204,Gallagher Wells,Lewis,Wright-Blake,34,None,Married,Male,Haematologist,None,Catholic
204,Gallagher Wells,Colin,Wright-Blake,3,None,NA,Male,Child,None,NA
204,Gallagher Wells,Neil,Fuller,52,None,Single,Male,Clinical embryologist,None,Muslim
205,Gallagher Wells,Deborah,Harvey,67,Head,Single,Female,Environmental education officer,None,None
206,Gallagher Wells,Debra,Baxter,33,Head,Married,Female,Research scientist (medical),None,None
206,Gallagher Wells,Damian,Baxter,35,Husband,Married,Male,"Development worker, international aid",None,None
206,Gallagher Wells,Gemma,Baxter,17,Daughter,NA,Female,Student,None,NA
206,Gallagher Wells,Rhys,Baxter,16,Son,NA,Male,Student,None,NA
207,Gallagher Wells,Martyn,Mills,88,Head,Married,Male,"Retired Investment banker, corporate",None,Christian
207,Gallagher Wells,Katherine,Jones,87,Wife,Married,Female,Retired Scientific laboratory technician,None,Christian
207,Gallagher Wells,Tina,Mills,54,Daughter,Single,Female,Multimedia specialist,None,None
207,Gallagher Wells,Brett,Mills,50,Son,Single,Male,Computer games developer,None,Christian
207,Gallagher Wells,Gerald,Mills,44,Son,Divorced,Male,Diagnostic radiographer,None,Christian
207,Gallagher Wells,Rachael,Mills,44,Daughter,Single,Female,Unemployed,None,Christian
207,Gallagher Wells,Jill,Mills,44,Daughter,Single,Female,English as a second language teacher,None,None
208,Gallagher Wells,Sophie,Hill,34,Head,Married,Female,Community education officer,None,Methodist
208,Gallagher Wells,Iain,Hill,32,Husband,Married,Male,"Civil engineer, contracting",None,Methodist
208,Gallagher Wells,Tony,Hill,8,Son,NA,Male,Student,None,NA
208,Gallagher Wells,Dorothy,Hill,4,Daughter,NA,Female,Child,None,NA
208,Gallagher Wells,Barbara,Hill,3,Daughter,NA,Female,Child,None,NA
209,Gallagher Wells,Mary,Bowen,32,Head,Married,Female,Sub,None,None
209,Gallagher Wells,George,Bowen,36,Husband,Married,Male,Pension scheme manager,None,None
210,Gallagher Wells,Philip,Mann,60,Head,Single,Male,Commercial horticulturist,None,None
210,Gallagher Wells,Dennis,Mann,5,Grandson,NA,Male,Student,None,NA
210,Gallagher Wells,Barry,Brown,1,Grandson,NA,Male,Child,None,NA
210,Gallagher Wells,Karl,Walker,48,Lodger,Single,Male,Interpreter,None,Christian
210,Gallagher Wells,Bethan,McKenzie,21,Lodger,Single,Female,University Student,None,None
210,Gallagher Wells,Jamie,Wells,61,Lodger,Single,Male,Barista,None,Catholic
211,Gallagher Wells,Pamela,Williams,58,Head,Single,Female,Optometrist,None,None
211,Gallagher Wells,Brian,Williams,8,Grandson,NA,Male,Student,None,NA
211,Gallagher Wells,Sara,Williams,6,Granddaughter,NA,Female,Student,None,NA
211,Gallagher Wells,Robert,Williams,3,Grandson,NA,Male,Child,None,NA
211,Gallagher Wells,Luke,Pearson,23,Lodger,Divorced,Male,"Lighting technician, broadcasting/film/video",None,Catholic
211,Gallagher Wells,Diane,Martin,48,Lodger,Single,Female,Neurosurgeon,None,Methodist
212,Gallagher Wells,Alison,Shepherd,53,Head,Single,Female,"Engineer, technical sales",None,Christian
212,Gallagher Wells,Jessica,Smith,44,None,Single,Female,Make,None,Catholic
212,Gallagher Wells,Cheryl,Bibi,38,None,Single,Female,Associate Professor,None,None
212,Gallagher Wells,Bernard,Spencer,22,None,Single,Male,University Student,None,Muslim
213,Gallagher Wells,Kerry,Moore,65,Head,Widowed,Female,Corporate treasurer,None,Methodist
214,Gallagher Wells,Michelle,Pearson,70,Head,Widowed,Female,Unemployed,None,Christian
214,Gallagher Wells,Christine,Pearson,33,Daughter,Single,Female,Medical physicist,None,None
214,Gallagher Wells,Leonard,Pearson,29,Son,Single,Male,Primary school teacher,None,Christian
214,Gallagher Wells,Raymond,Pearson,27,Son,Single,Male,Nature conservation officer,None,Christian
215,Gallagher Wells,Brian,Burgess,35,Head,Married,Male,Tourist information centre manager,None,Catholic
215,Gallagher Wells,Jacqueline,Burgess,36,Wife,Married,Female,Dispensing optician,None,Catholic
215,Gallagher Wells,Douglas,Burgess,13,Son,NA,Male,Student,None,NA
215,Gallagher Wells,Richard,Burgess,13,Son,NA,Male,Student,None,NA
216,Gallagher Wells,Judith,Dixon,69,Head,Married,Female,"Retired Buyer, retail",None,None
216,Gallagher Wells,Derek,Dixon,71,Husband,Married,Male,"Retired Horticulturist, amenity",None,None
217,Gallagher Wells,Bethan,Robertson,43,Head,Married,Female,Armed forces operational officer,None,None
217,Gallagher Wells,Leigh,Robertson,47,Husband,Married,Male,Retail banker,None,None
1,Dublin Lane,Kevin,Bell,66,Head,Single,Male,Geochemist,None,Christian
2,Dublin Lane,Dorothy,Taylor,38,Head,Single,Female,Hotel manager,None,None
3,Dublin Lane,Charles,Lawrence,39,Head,Single,Male,Firefighter,None,Catholic
4,Dublin Lane,Albert,Gallagher,40,Head,Widowed,Male,Systems developer,None,Catholic
5,Dublin Lane,Frances,Brooks,83,Head,Divorced,Female,"Retired Producer, television/film/video",None,Christian
6,Dublin Lane,Diana,Scott,56,Head,Widowed,Female,Consulting civil engineer,None,Christian
1,Rowley Road,Paula,Flynn,69,Head,Married,Female,Retired Volunteer coordinator,None,Christian
1,Rowley Road,Stuart,Flynn,71,Husband,Married,Male,Retired Legal secretary,None,None
1,Rowley Road,Justin,Flynn,47,Son,Divorced,Male,Magazine features editor,None,Christian
1,Rowley Road,Bethany,Flynn,43,Daughter,Widowed,Female,"Lecturer, higher education",None,Christian
2,Rowley Road,Samantha,Butler,41,Head,Single,Female,Forensic psychologist,Physical Disability,Christian
2,Rowley Road,Vincent,Peacock,44,Partner,Single,Male,Chartered public finance accountant,None,Christian
2,Rowley Road,Terence,Butler,8,Son,NA,Male,Student,None,NA
2,Rowley Road,Antony,Butler,5,Son,NA,Male,Student,None,NA
2,Rowley Road,Shannon,Butler,4,Daughter,NA,Female,Child,None,NA
3,Rowley Road,Glenn,Taylor,26,Head,Married,Male,Product manager,None,None
3,Rowley Road,Debra,Taylor,30,Wife,Married,Female,Tourism officer,None,None
4,Rowley Road,Angela,Conway-Thomas,37,Head,Married,Female,"Designer, ceramics/pottery",None,Christian
4,Rowley Road,Dennis,Conway-Thomas,39,Husband,Married,Male,Naval architect,None,None
4,Rowley Road,Christopher,Conway-Thomas,3,Son,NA,Male,Child,None,NA
4,Rowley Road,Colin,Conway-Thomas,1,Son,NA,Male,Child,None,NA
4,Rowley Road,Donald,Hughes,27,Lodger,Divorced,Male,Writer,None,Methodist
5,Rowley Road,Francesca,Nelson,39,Head,Divorced,Female,Unemployed,None,None
5,Rowley Road,Guy,Nelson,13,Son,NA,Male,Student,None,NA
5,Rowley Road,Bernard,Nelson,8,Son,NA,Male,Student,None,NA
5,Rowley Road,Sian,Nelson,6,Daughter,NA,Female,Student,None,NA
5,Rowley Road,Glenn,Nelson,0,Son,NA,Male,Child,None,NA
6,Rowley Road,Katy,Davison,34,Head,Divorced,Female,Radio producer,None,None
6,Rowley Road,Gemma,Davison,3,Daughter,NA,Female,Child,None,NA
6,Rowley Road,Kathryn,Davison,2,Daughter,NA,Female,Child,None,NA
6,Rowley Road,Mandy,Hudson,45,Lodger,Single,Female,"Therapist, music",None,Methodist
6,Rowley Road,Hugh,Singh,27,Lodger,Single,Male,Air cabin crew,None,Christian
7,Rowley Road,Lynda,Hunter,82,Head,Married,Female,"Retired Secretary, company",None,Christian
7,Rowley Road,Hugh,Hunter,79,Husband,Married,Male,"Retired Scientist, product/process development",None,None
7,Rowley Road,Stewart,Hunter,47,Son,Single,Male,Chartered loss adjuster,None,Christian
7,Rowley Road,Joshua,Hunter,44,Son,Single,Male,Gaffer,None,None
7,Rowley Road,Alex,Hunter,39,Son,Single,Male,Professor Emeritus,None,None
7,Rowley Road,Mark,Begum,21,Lodger,Widowed,Male,Special effects artist,None,Catholic
8,Rowley Road,Nicola,Bishop,30,Head,Single,Female,Hotel Owner and Operator,None,None
8,Rowley Road,Richard,Bishop,2,Son,NA,Male,Child,None,NA
8,Rowley Road,Kimberley,Bishop,1,Daughter,NA,Female,Child,None,NA
8,Rowley Road,Leah,Roberts,43,Lodger,Divorced,Female,Lobbyist,None,Christian
8,Rowley Road,Rosemary,Gordon,32,Lodger,Single,Female,Financial planner,None,None
8,Rowley Road,Janice,Foster,63,Lodger,Single,Female,Corporate treasurer,None,None
8,Rowley Road,Alexander,Smith,53,Lodger,Single,Male,Further education lecturer,None,Christian
9,Rowley Road,Leonard,Morgan,30,Head,Married,Male,Hotel Owner and Operator,None,None
9,Rowley Road,Donna,Morgan,28,Wife,Married,Female,Risk manager,None,None
9,Rowley Road,Lynda,Morgan,0,Daughter,NA,Female,Child,None,NA
9,Rowley Road,Jeffrey,Duffy,58,Lodger,Single,Male,"Lighting technician, broadcasting/film/video",None,Methodist
9,Rowley Road,Cheryl,Abbott,42,Lodger,Single,Female,Brewing technologist,None,None
9,Rowley Road,Paige,Bryan,64,Cousin,Single,Female,Unemployed,None,Catholic
9,Rowley Road,Iain,Young,50,Sibling,Single,Male,Food technologist,None,Christian
9,Rowley Road,Victoria,Lewis,25,Lodger,Single,Female,Public librarian,None,Catholic
9,Rowley Road,Patricia,Williams,18,Lodger,Single,Female,Student,None,NA
9,Rowley Road,Lindsey,Lee,40,Lodger,Single,Female,Public relations officer,None,Christian
9,Rowley Road,Geraldine,Poole,48,Lodger,Single,Female,"Embryologist, clinical",None,Christian
9,Rowley Road,Jake,Palmer,30,Lodger,Single,Male,Environmental education officer,None,Jewish
10,Rowley Road,Jemma,Cole,30,Head,Married,Female,Marine scientist,None,Catholic
10,Rowley Road,Glenn,Cole,30,Husband,Married,Male,Contractor,None,None
10,Rowley Road,Cheryl,Cole,2,Daughter,NA,Female,Child,None,NA
11,Rowley Road,Eleanor,Murray,34,Head,Married,Female,Educational psychologist,None,Methodist
11,Rowley Road,Nicholas,Murray,38,Husband,Married,Male,"Psychologist, educational",None,Methodist
11,Rowley Road,Amelia,Murray,1,Daughter,NA,Female,Child,None,NA
11,Rowley Road,Leigh,Murray,0,Son,NA,Male,Child,None,NA
11,Rowley Road,Elaine,Reed,56,Lodger,Single,Female,"Accountant, chartered",None,Christian
12,Rowley Road,Kim,Green,57,Head,Married,Female,Patent attorney,None,None
12,Rowley Road,Stewart,Green,59,Husband,Married,Male,"Accountant, chartered certified",None,None
12,Rowley Road,Matthew,Green,30,Son,Widowed,Male,"Physicist, medical",None,None
12,Rowley Road,Scott,Green,27,Son,Single,Male,Dramatherapist,None,None
12,Rowley Road,Danielle,Green,23,Daughter,Single,Female,Cabin crew,None,None
13,Rowley Road,George,Patterson,45,Head,Married,Male,"Teacher, music",None,None
13,Rowley Road,Lynne,Patterson,42,Wife,Married,Female,Petroleum engineer,None,None
13,Rowley Road,Sheila,Patterson,7,Daughter,NA,Female,Student,None,NA
13,Rowley Road,Terry,Patterson,3,Son,NA,Male,Child,None,NA
13,Rowley Road,Arthur,Patterson,2,Son,NA,Male,Child,None,NA
14,Rowley Road,Beth,Morgan,31,Head,Single,Female,Unemployed,None,None
14,Rowley Road,Jennifer,Walton,32,Partner,Single,Female,Licensed conveyancer,None,None
14,Rowley Road,Heather,Morgan,4,Daughter,NA,Female,Child,None,NA
14,Rowley Road,Hayley,Morgan,4,Daughter,NA,Female,Child,None,NA
14,Rowley Road,Grace,Griffiths,20,Lodger,Widowed,Female,University Student,None,None
14,Rowley Road,Georgia,Harris,20,Visitor,Single,Female,University Student,None,None
14,Rowley Road,Ashleigh,Davies,31,Lodger,Single,Female,"Teacher, secondary school",None,Sikh
15,Rowley Road,Katherine,Kennedy,36,Head,Divorced,Female,Paramedic,None,None
15,Rowley Road,Ryan,Kennedy,5,Son,NA,Male,Student,None,NA
15,Rowley Road,Ben,Kennedy,5,Son,NA,Male,Student,None,NA
15,Rowley Road,Sylvia,Kennedy,4,Daughter,NA,Female,Child,None,NA
15,Rowley Road,Tracy,Adams-Kennedy,0,Daughter,NA,Female,Child,None,NA
16,Rowley Road,Matthew,Stone,28,Head,Single,Male,Licensed conveyancer,None,Catholic
16,Rowley Road,Josh,Morrison,55,None,Single,Male,"Administrator, education",None,Christian
16,Rowley Road,Leanne,Johnson,31,None,Single,Female,"Engineer, maintenance (IT)",None,Catholic
16,Rowley Road,Beth,Jones,54,None,Single,Female,Theatre director,None,Sikh
16,Rowley Road,Heather,Mills,48,None,Single,Female,Charity fundraiser,None,Catholic
17,Rowley Road,Natalie,Preston,70,Head,Married,Female,"Retired Therapist, speech and language",None,Methodist
17,Rowley Road,Dennis,Preston,74,Husband,Married,Male,Unemployed,None,Methodist
17,Rowley Road,Mitchell,Preston,43,Son,Divorced,Male,"Scientist, marine",None,Methodist
18,Rowley Road,Sheila,Houghton,32,Head,Divorced,Female,Theatre stage manager,None,Muslim
18,Rowley Road,Josephine,O'Brien,55,None,Single,Female,Chief Strategy Officer,None,None
18,Rowley Road,Edward,Bates,49,None,Single,Male,Market researcher,None,Methodist
18,Rowley Road,Duncan,Khan,43,None,Divorced,Male,"Education officer, environmental",None,Muslim
18,Rowley Road,Toby,Newton,37,None,Single,Male,"Editor, commissioning",None,Methodist
19,Rowley Road,Ryan,Brady,68,Head,Married,Male,Retired Learning disability nurse,None,Catholic
19,Rowley Road,Alexandra,Brady,64,Wife,Married,Female,Local government officer,None,Catholic
19,Rowley Road,Kelly,Ward,11,Granddaughter,NA,Female,Student,None,NA
19,Rowley Road,Danny,Manning,7,Grandson,NA,Male,Student,None,NA
19,Rowley Road,Kerry,Francis,34,Lodger,Divorced,Female,Recycling officer,None,Catholic
20,Rowley Road,Sally,Shaw,62,Head,Married,Female,"Psychologist, occupational",None,Christian
20,Rowley Road,Marc,Shaw,63,Husband,Married,Male,Medical physicist,None,None
20,Rowley Road,Lydia,Shaw,33,Daughter,Single,Female,Automotive engineer,None,None
20,Rowley Road,Cameron,Shaw,32,Son,Single,Male,Unemployed,None,Christian
20,Rowley Road,Sam,Shaw,30,Son,Divorced,Male,"Editor, commissioning",None,Christian
21,Rowley Road,Georgia,King,41,Head,Married,Female,"Librarian, public",None,Christian
21,Rowley Road,Christopher,King,43,Husband,Married,Male,"Teacher, secondary school",None,Christian
21,Rowley Road,Joan,King,15,Daughter,NA,Female,Student,None,NA
21,Rowley Road,Hugh,King,11,Son,NA,Male,Student,None,NA
21,Rowley Road,Clifford,King,11,Son,NA,Male,Student,None,NA
22,Rowley Road,Anna,Buckley,24,Head,Married,Female,Retail buyer,None,None
22,Rowley Road,Robert,Buckley,26,Husband,Married,Male,Tour manager,None,None
22,Rowley Road,Toby,Buckley,8,Son,NA,Male,Student,None,NA
22,Rowley Road,Diana,Buckley,5,Daughter,NA,Female,Student,None,NA
22,Rowley Road,Oliver,Buckley,2,Son,NA,Male,Child,Mental Disability,NA
23,Rowley Road,Harry,Hussain,51,Head,Married,Male,Planning and development surveyor,None,Catholic
23,Rowley Road,Ruth,Hussain,46,Wife,Married,Female,TEFL teacher,None,Catholic
23,Rowley Road,Ross,Hussain,10,Son,NA,Male,Student,None,NA
24,Rowley Road,Stacey,Lewis,76,Head,Married,Female,Retired Meteorologist,None,Christian
24,Rowley Road,Philip,Lewis,78,Husband,Married,Male,Retired Public librarian,None,Christian
24,Rowley Road,Jamie,Lewis,48,Son,Single,Male,Unemployed,None,None
24,Rowley Road,Brian,Lewis,46,Son,Single,Male,Copy,None,Christian
24,Rowley Road,Wendy,Lewis,41,Daughter,Single,Female,Financial risk analyst,None,Christian
1,Clark Fort,Rachel,Barlow,36,Head,Divorced,Female,Health and safety adviser,None,None
1,Clark Fort,Andrew,Barlow,16,Son,NA,Male,Student,None,NA
1,Clark Fort,Marilyn,Barlow,14,Daughter,NA,Female,Student,None,NA
1,Clark Fort,Shane,Barlow,13,Son,NA,Male,Student,None,NA
2,Clark Fort,Dennis,Fox,72,Head,Married,Male,"Retired Conservator, furniture",None,None
2,Clark Fort,Teresa,Fox,63,Wife,Married,Female,"Administrator, sports",None,None
3,Clark Fort,Sylvia,Whitehead,42,Head,Single,Female,Farm manager,None,None
3,Clark Fort,Jacqueline,Hill,30,None,Single,Female,Health visitor,None,Catholic
3,Clark Fort,Damien,Lyons,51,None,Single,Male,"Copywriter, advertising",None,Catholic
3,Clark Fort,Hugh,Stanley,25,None,Single,Male,Database administrator,None,Catholic
4,Clark Fort,Shirley,White,49,Head,Single,Female,"Development worker, community",None,None
4,Clark Fort,Allan,White-Graham,51,Partner,Single,Male,Clothing/textile technologist,None,None
4,Clark Fort,Grace,White-Graham,14,Daughter,NA,Female,Student,None,NA
5,Clark Fort,Kelly,Lane,69,Head,Widowed,Female,Retired Conference centre manager,None,Christian
5,Clark Fort,Owen,Lane,40,Son,Divorced,Male,"Psychologist, clinical",None,Christian
6,Clark Fort,Danielle,Turnbull,56,Head,Married,Female,Arts administrator,None,None
6,Clark Fort,Jonathan,Turnbull,59,Husband,Married,Male,Operational investment banker,None,None
6,Clark Fort,Norman,Turnbull,27,Son,Single,Male,English as a foreign language teacher,None,None
6,Clark Fort,Lawrence,Turnbull,23,Son,Single,Male,Jewellery designer,None,None
7,Clark Fort,Kimberley,Scott,43,Head,Married,Female,Operations geologist,None,None
7,Clark Fort,Abdul,Scott,47,Husband,Married,Male,Physiotherapist,None,None
8,Clark Fort,Shane,Norris,85,Head,Divorced,Male,"Retired Engineer, automotive",None,Christian
9,Clark Fort,Jane,Simpson,41,Head,Married,Female,Haematologist,None,Christian
9,Clark Fort,Victor,Simpson,43,Husband,Married,Male,Government social research officer,None,None
9,Clark Fort,Jeffrey,Simpson,16,Son,NA,Male,Student,None,NA
10,Clark Fort,Robert,Davis,69,Head,Married,Male,Retired Personnel officer,None,Christian
10,Clark Fort,Sharon,Davis,68,Wife,Married,Female,"Retired Therapist, speech and language",None,Christian
10,Clark Fort,George,Lucas,18,Grandson,Single,Male,Student,None,None
